Date,portfolio,Mkt-RF,SMB,HML,RF
2000-04,-0.0647146855419034,-6.4,-6.63,7.25,0.46
2000-05,-0.03840185446624367,-4.42,-6.11,4.83,0.5
2000-06,0.03867608427582869,4.64,12.8,-8.41,0.4
2000-07,-0.021475639080378306,-2.51,-3.08,8.33,0.48
2000-08,0.05309730170161098,7.03,-0.63,-1.37,0.5
2000-09,-0.01865528347591361,-5.45,-1.73,7.17,0.51
2000-10,-0.02500399978517054,-2.76,-3.93,5.64,0.56
2000-11,-0.0728970632780569,-10.72,-3.39,12.34,0.51
2000-12,-0.0683970133666496,1.19,0.73,7.6,0.5
2001-01,0.06469598784857711,3.13,6.68,-5.11,0.54
2001-02,-0.04658035546400463,-10.05,-0.74,12.48,0.38
2001-03,-0.05174339495061153,-7.26,0.27,6.43,0.42
2001-04,0.04824337148918589,7.94,0.56,-4.7,0.39
2001-05,0.0129581773639591,0.72,2.5,3.36,0.32
2001-06,-0.025584427962003442,-1.94,6.27,-1.13,0.28
2001-07,-0.005432321829544118,-2.13,-4.19,5.21,0.3
2001-08,-0.03004103001419045,-6.46,2.48,2.3,0.31
2001-09,-0.05466922636059901,-9.25,-6.25,1.46,0.28
2001-10,0.007942368488939477,2.46,7.49,-7.66,0.22
2001-11,0.03422825780864991,7.54,-0.47,2.22,0.17
2001-12,0.018333318915497054,1.6,4.73,0.85,0.15
2002-01,-0.0004951448164548511,-1.44,1.19,3.44,0.14
2002-02,0.0011753236511540255,-2.29,-1.0,2.16,0.13
2002-03,0.03334895483784783,4.24,4.21,1.07,0.13
2002-04,0.0009093982147378998,-5.2,5.96,3.88,0.15
2002-05,0.003860001204253116,-1.38,-3.21,1.53,0.14
2002-06,-0.0413935458966207,-7.21,4.28,-0.03,0.13
2002-07,-0.01628395482235656,-8.18,-5.26,-3.86,0.15
2002-08,0.008865173251453973,0.5,-2.87,3.31,0.14
2002-09,-0.04092372451583526,-10.35,2.43,1.44,0.14
2002-10,0.023559860053147474,7.84,-3.41,-3.95,0.14
2002-11,-0.004347646687149376,5.96,3.23,-1.27,0.12
2002-12,-0.008476609592563356,-5.76,0.11,2.13,0.11
2003-01,-0.029320227331837034,-2.57,1.3,-0.73,0.1
2003-02,-0.012560399496922003,-1.88,-0.46,-1.38,0.09
2003-03,0.02219221411450545,1.09,1.04,-1.93,0.1
2003-04,0.04712771133464422,8.22,0.67,1.17,0.1
2003-05,0.04879851187983708,6.05,4.71,0.53,0.09
2003-06,0.018081287055859985,1.42,1.74,0.19,0.1
2003-07,0.026521430922789024,2.35,5.11,-1.19,0.07
2003-08,0.0316031252510911,2.34,2.62,1.54,0.07
2003-09,-0.008050309767803965,-1.24,0.8,0.1,0.08
2003-10,0.06492344009932771,6.08,2.63,1.92,0.07
2003-11,0.018416697413362604,1.35,2.0,1.81,0.07
2003-12,0.025774417234387448,4.29,-2.71,1.6,0.08
2004-01,0.00041871167629814465,2.15,2.54,2.46,0.07
2004-02,0.03182636379931192,1.4,-1.52,0.87,0.06
2004-03,0.005901336423152603,-1.32,1.75,0.23,0.09
2004-04,-0.014456086149418845,-1.83,-1.74,-3.02,0.08
