symbol,name,mktcap,industry
A032560,황금에스티,121380,제조업
A244920,에이플러스에셋,120951,제조업
A100840,S&TC,121609,제조업
A008250,이건산업,120479,제조업
A000890,보해양조,127067,제조업
A053690,한미글로벌,121081,제조업
A012160,영흥,125191,제조업
A011090,에넥스,121483,제조업
A014530,극동유화,118905,제조업
A009200,무림페이퍼,123372,제조업
A010820,퍼스텍,118471,제조업
A129260,인터지스,108580,제조업
A004830,덕성,116032,제조업
A021050,서원,118212,제조업
A264900,크라운제과,116096,제조업
A023000,삼원강재,115600,제조업
A010960,삼호개발,116375,제조업
A003720,삼영화학,110840,제조업
A078000,텔코웨어,115947,제조업
A071970,STX중공업,114882,제조업
A012600,센트럴인사이트,120326,제조업
A011810,STX,112443,제조업
A092440,기신정기,112420,제조업
A134790,시디즈,113400,제조업
A002140,고려산업,111729,제조업
A001290,상상인증권,112447,증권업
A003650,미창석유,110295,제조업
A267290,경동도시가스,111423,제조업
A000220,유유제약,111288,제조업
A058850,KTcs,108420,제조업
A041650,상신브레이크,108431,제조업
A001550,조비,108258,제조업
A034590,인천도시가스,108931,제조업
A058430,포스코강판,106800,제조업
A005360,모나미,108282,제조업
A004080,신흥,106080,제조업
A005110,한창,104861,제조업
A002360,SH에너지화학,104132,제조업
A001020,페이퍼코리아,101632,제조업
A008600,윌비스,105882,제조업
A194370,제이에스코퍼레이션,107352,제조업
A016740,두올,105560,제조업
A015230,대창단조,104860,제조업
A006340,대원전선,105815,제조업
A002600,조흥,104100,제조업
A027970,세하,105340,제조업
A010100,한국프랜지,99268,제조업
A031820,콤텍시스템,104491,제조업
A000500,가온전선,98808,제조업
A011330,유니켐,102722,제조업
A227840,현대코퍼레이션홀딩스,101019,제조업
A145210,세화아이엠씨,106402,제조업
A005750,대림B&Co,101367,제조업
A007280,한국특수형강,102758,제조업
A007980,태평양물산,103040,제조업
A058860,KTis,100926,제조업
A006980,우성사료,102588,제조업
A002870,신풍제지,99458,제조업
A000300,대유플러스,102815,제조업
A035000,지투알,101558,제조업
A006090,사조오양,103650,제조업
A019440,세아특수강,99841,제조업
A014710,사조씨푸드,98490,제조업
A005870,휴니드,98953,제조업
A015540,쎌마테라퓨틱스,103593,제조업
A000650,천일고속,97473,제조업
A002200,한국수출포장,94800,제조업
A017040,광명전기,95126,제조업
A000910,유니온,96324,제조업
A013000,세우글로벌,94009,제조업
A000040,KR모터스,94411,제조업
A155660,DSR,96160,제조업
A010040,한국내화,93741,제조업
A014990,인디에프,92525,제조업
A007590,동방아그로,92191,제조업
A003080,성보화학,93493,제조업
A004870,티웨이홀딩스,101986,제조업
A008260,NI스틸,91091,제조업
A006370,대구백화점,90793,제조업
A016090,대현,89893,제조업
A092780,동양피스톤,89150,제조업
A002920,유성기업,86665,제조업
A025620,제이준코스메틱,89505,제조업
A005800,신영와코루,89190,제조업
A003610,방림,88013,제조업
A058730,다스코,86548,제조업
A105840,우진,85859,제조업
A017370,우신시스템,86717,제조업
A009310,참엔지니어링,92870,제조업
A005190,동성화학,86169,제조업
A100220,비상교육,85519,제조업
A001140,국보,84187,제조업
A014440,영보화학,85700,제조업
A026940,부국철강,84200,제조업
A009180,한솔로지스틱스,84905,제조업
A004450,삼화왕관,84236,제조업
A016880,웅진,84935,제조업
A133820,화인베스틸,83331,제조업
A023350,한국종합기술,81468,제조업
A001080,만호제강,81963,제조업
A014130,한익스프레스,82080,제조업
A004910,조광페인트,82432,제조업
A021820,세원정공,80900,제조업
A111110,호전실업,82000,제조업
A013360,일성건설,79146,제조업
A023810,인팩,75900,제조업
A024890,대원화성,75898,제조업
A069730,DSR제강,74880,제조업
A004410,서울식품,76400,제조업
A009770,삼정펄프,74749,제조업
A090080,평화산업,72471,제조업
A006660,삼성공조,73543,제조업
A008420,문배철강,71762,제조업
A004090,한국석유,75676,제조업
A000850,화천기공,72490,제조업
A011690,유양디앤유,71363,제조업
A012320,경동인베스트,71660,제조업
A008870,금비,71100,제조업
A001560,제일연마,71200,제조업
A084670,동양고속,70362,제조업
A090370,메타랩스,68467,제조업
A000590,CS홀딩스,68576,제조업
A012170,키위미디어그룹,68535,제조업
A003010,혜인,68903,제조업
A025820,이구산업,68222,제조업
A019180,티에이치엔,68130,제조업
A006570,대림통상,64478,제조업
A023150,MH에탄올,66038,제조업
A123700,SJM,63668,제조업
A069460,대호에이엘,64445,제조업
A010770,평화홀딩스,63767,제조업
A033250,체시스,49440,제조업
A010400,우진아이엔에스,61281,제조업
A005010,휴스틸,60516,제조업
A003780,진양산업,59150,제조업
A025560,미래산업,60841,제조업
A007120,미래아이앤지,59045,제조업
A007610,선도전기,61110,제조업
